Teams listed by FIFA ranking as of May 2006[19],Teams listed by FIFA ranking as of May 2006[19],Teams listed by FIFA ranking as of May 2006[19],Teams listed by FIFA ranking as of May 2006[19]
,Country,Confederation,Rank
1,Brazil,CONMEBOL,1
2,Czech Republic,UEFA,2
3,Netherlands,UEFA,3
4,Mexico,CONCACAF,4
5,United States,CONCACAF,5
5,Spain,UEFA,5
7,Portugal,UEFA,7
8,France,UEFA,8
9,Argentina,CONMEBOL,9
10,England,UEFA,10
11,Italy,UEFA,13
12,Sweden,UEFA,16
13,Japan,AFC,18
14,Germany,UEFA,19
15,Tunisia,CAF,21
16,Iran,AFC,23
16,Croatia,UEFA,23
18,Costa Rica,CONCACAF,25
19,South Korea,AFC,29
19,Poland,UEFA,29
21,Ivory Coast,CAF,32
22,Paraguay,CONMEBOL,33
23,Saudi Arabia,AFC,34
24,Switzerland,UEFA,35
25,Ecuador,CONMEBOL,39
26,Australia,OFC,42
27,Serbia and Montenegro,UEFA,44
28,Ukraine,UEFA,45
29,Trinidad and Tobago,CONCACAF,47
30,Ghana,CAF,48
31,Angola,CAF,57
32,Togo,CAF,61
